unix,low,high,open,close,volume,date,vol_fiat
1638316800,207.821,225.299,208.716,225.11,976945.585,2021-12-01,219920220.63935
1638230400,199.711,218.549,204.205,208.676,1473322.714,2021-11-30,307447090.66666394
1638144000,199.863,212.993,200.838,204.187,1358697.217,2021-11-29,277428308.647579
1638057600,181.067,203.009,192.942,200.907,1111076.894,2021-11-28,223223125.54285803
1637971200,190.627,199.511,192.481,192.952,900431.578,2021-11-27,173740073.838256
1637884800,182.91,210.647,210.124,192.541,1795806.773,2021-11-26,345766431.880193
1637798400,202.054,216.5,205.752,210.139,1140446.083,2021-11-25,239652199.43553704
1637712000,200.14,222.073,221.971,205.685,1328554.69,2021-11-24,273263771.41265
1637625600,211.0,226.193,215.768,221.97,996750.961,2021-11-23,221248810.81317002
1637539200,211.757,232.269,230.752,215.788,1516214.968,2021-11-22,327180995.51478404
1637452800,210.622,235.584,217.865,230.785,1263272.834,2021-11-21,291544420.99469
1637366400,206.0,221.374,215.441,217.865,912974.488,2021-11-20,198905186.82812002
1637280000,189.266,220.0,195.265,215.385,1735514.617,2021-11-19,373803815.78254503
1637193600,186.77,222.886,219.04,195.252,2542061.849,2021-11-18,496342660.140948
1637107200,209.943,222.525,219.191,219.044,1535925.221,2021-11-17,336435204.108724
1637020800,214.469,238.219,238.217,219.155,1744298.106,2021-11-16,382271651.42043
1636934400,234.316,246.382,238.735,238.218,1106931.928,2021-11-15,263691110.024304
1636848000,230.481,242.07,241.718,238.702,883162.651,2021-11-14,210812691.11900198
1636761600,224.919,242.098,228.486,241.776,972796.74,2021-11-13,235198904.61024
1636675200,221.0,239.0,233.477,228.53,1241944.182,2021-11-12,283821503.91246
1636588800,229.508,246.49,233.2,233.498,1187779.661,2021-11-11,277344175.284178
1636502400,217.0,248.163,239.045,233.277,1713405.863,2021-11-10,399698179.5030509
1636416000,237.536,253.259,248.354,239.045,1299758.057,2021-11-09,310700664.735565
1636329600,240.583,253.391,249.807,248.422,1451021.989,2021-11-08,360465784.551358
1636243200,245.8,258.926,258.764,249.808,1032555.641,2021-11-07,257940659.56692797
1636156800,235.016,260.0,236.306,258.763,1398599.741,2021-11-06,361905864.78038293
1636070400,230.537,248.622,247.202,236.364,1200989.781,2021-11-05,283870748.596284
1635984000,234.421,250.566,243.525,247.244,1905230.547,2021-11-04,471056821.362468
1635897600,216.003,246.884,221.031,243.553,2683716.258,2021-11-03,653627145.7846739
1635811200,201.024,222.428,204.061,221.168,1588257.618,2021-11-02,351271760.857824
1635724800,197.85,211.687,202.673,204.035,1629045.016,2021-11-01,332382199.83956003
1635638400,185.584,205.264,195.924,202.673,1261559.945,2021-10-31,255684138.73298502
1635552000,187.51,200.687,200.428,195.913,890535.465,2021-10-30,174467474.55454502
1635465600,194.627,205.307,195.481,200.439,1263193.234,2021-10-29,253193188.629726
1635379200,181.75,201.561,184.682,195.377,1854736.75,2021-10-28,362372902.00475
