date,open,close,high,low,volume,symbol
2021-12-03,56521.45,56230.36,57670.68,56086.21,5755.8349682,BTC/USD
2021-12-02,57226.51,56521.46,57423.69,55845.0,12969.21952648,BTC/USD
2021-12-01,56998.35,57226.5,59118.84,56465.75,16607.30872879,BTC/USD
2021-11-30,57838.06,56987.97,59249.77,55910.33,18038.78770838,BTC/USD
2021-11-29,57318.51,57838.06,58908.27,56730.0,13454.23335496,BTC/USD
2021-11-28,54759.04,57317.17,57490.0,53327.0,8222.42493442,BTC/USD
2021-11-27,53757.67,54759.05,55316.67,53642.58,7899.30349126,BTC/USD
2021-11-26,58994.72,53757.67,59194.0,53533.0,25946.30174683,BTC/USD
2021-11-25,57158.58,58987.27,59445.99,57037.04,10668.67680723,BTC/USD
2021-11-24,57562.65,57162.66,57607.97,55875.01,12509.25971944,BTC/USD
2021-11-23,56280.81,57566.85,57886.03,55377.0,14019.78167156,BTC/USD
2021-11-22,58671.22,56280.81,59526.51,55641.03,15889.22078935,BTC/USD
2021-11-21,59760.76,58671.21,60070.0,58509.69,6661.36635434,BTC/USD
2021-11-20,58122.15,59760.76,59900.0,57423.35,7584.65241653,BTC/USD
2021-11-19,56898.46,58122.16,58412.12,55625.0,18554.56064192,BTC/USD
2021-11-18,60351.51,56898.0,60977.21,56514.13,26749.21203012,BTC/USD
2021-11-17,60101.56,60351.51,60824.38,58380.0,20907.21545076,BTC/USD
2021-11-16,63621.05,60107.98,63624.6,58638.0,24910.15267457,BTC/USD
2021-11-15,65505.03,63624.59,66339.9,63371.0,10426.55522646,BTC/USD
2021-11-14,64400.01,65505.02,65525.0,63596.9,6081.57225975,BTC/USD
2021-11-13,64144.42,64400.01,64990.0,63394.17,5968.10354833,BTC/USD
2021-11-12,64807.73,64147.9,65477.06,62300.0,13658.626579,BTC/USD
2021-11-11,64912.2,64807.59,65600.0,64133.78,10259.51472415,BTC/USD
2021-11-10,66938.76,64912.2,69000.0,62800.0,19030.24517744,BTC/USD
2021-11-09,67554.13,66944.66,68568.85,66261.79,14996.62508818,BTC/USD
2021-11-08,63309.12,67554.84,67792.77,63309.12,17661.87297159,BTC/USD
2021-11-07,61539.3,63309.13,63327.96,61397.86,5596.02460734,BTC/USD
2021-11-06,61006.14,61539.31,61599.25,60125.0,6366.43859189,BTC/USD
2021-11-05,61444.49,61006.15,62638.59,60777.0,10598.79620286,BTC/USD
2021-11-04,62935.4,61444.5,63114.14,60728.77,11051.75853921,BTC/USD
2021-11-03,63266.5,62935.41,63568.36,60070.0,12951.87181247,BTC/USD
2021-11-02,60956.4,63266.51,64300.0,60672.16,13694.11539462,BTC/USD
2021-11-01,61346.17,60949.54,62500.0,59500.0,11724.34161877,BTC/USD
2021-10-31,61896.38,61343.68,62427.02,60001.0,8371.1698899,BTC/USD
2021-10-30,62287.95,61892.41,62379.2,60725.01,6793.59698552,BTC/USD
2021-10-29,60591.63,62276.72,62974.0,60188.73,15497.01101939,BTC/USD
2021-10-28,58462.73,60591.65,62477.47,57653.88,19354.49897509,BTC/USD
2021-10-27,60333.19,58455.47,61488.0,58100.0,18856.68565412,BTC/USD
2021-10-26,63081.96,60337.62,63290.49,59837.07,12181.48144997,BTC/USD
2021-10-25,60847.91,63083.54,63726.58,60653.5,10496.58058683,BTC/USD
2021-10-24,61300.02,60854.48,61491.96,59522.89,8573.72719199,BTC/USD
2021-10-23,60682.88,61300.01,61750.0,59650.0,6708.15013802,BTC/USD
2021-10-22,62204.01,60687.64,63750.0,60000.0,17217.70765017,BTC/USD
2021-10-21,66021.26,62204.02,66650.85,62050.0,23474.39133313,BTC/USD
2021-10-20,64303.14,66026.54,66999.0,63525.0,19194.45410878,BTC/USD
